question,weightage_1,weightage_2,weightage_3,weightage_4,weightage_5,average_percent
How much of the syllabus was covered in the class?,0,0,1,0,0,3.00 / 60.00
How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00
How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00
The teachers approach to teaching can best be described as,0,0,1,0,0,3.00 / 60.00
Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,4.00 / 80.00
Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,2.00 / 40.00
The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,3.00 / 60.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,3.00 / 60.00
The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,2.00 / 40.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,3.00 / 60.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00
Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00
How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00
How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00
How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00
The teachers approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00
Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00
Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,5.00 / 100.00
The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,5.00 / 100.00
The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,5.00 / 100.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,5.00 / 100.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00
Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,4.00 / 80.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,5.00 / 100.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00
How much of the syllabus was covered in the class?,1,2,13,27,31,4.15 / 82.97
How well did the teachers prepare for the classes?,1,1,14,52,6,3.82 / 76.49
How well were the teachers able to communicate?,2,1,7,28,36,4.28 / 85.68
The teachers approach to teaching can best be described as,0,5,17,35,17,3.86 / 77.30
Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,4.19 / 83.78
Was your performance in assignments discussed with you?,1,3,8,27,35,4.24 / 84.86
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,3.92 / 78.38
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,3.92 / 78.38
The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,4.03 / 80.54
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,4.20 / 84.05
Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,4.03 / 80.54
The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,4.23 / 84.59
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,4.27 / 85.41
Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,4.04 / 80.81
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,3.97 / 79.46
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,4.01 / 80.27
Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,4.27 / 85.41
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,4.00 / 80.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,2.82 / 56.49
The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,4.12 / 82.43
How much of the syllabus was covered in the class?,0,0,1,4,15,4.70 / 94.00
How well did the teachers prepare for the classes?,1,1,0,12,6,4.05 / 81.00
How well were the teachers able to communicate?,0,1,2,3,14,4.50 / 90.00
The teachers approach to teaching can best be described as,0,1,1,8,10,4.35 / 87.00
Fairness of the internal evaluation process by the teachers.,0,0,1,9,10,4.45 / 89.00
Was your performance in assignments discussed with you?,0,2,0,4,14,4.50 / 90.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,3,1,15,4.50 / 90.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,10,9,4.35 / 87.00
The institution provides multiple opportunities to learn and grow.,0,1,3,11,5,4.00 / 80.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,2,15,4.50 / 90.00
Your mentor does a necessary follow-up with an assigned task to you.,2,2,0,4,12,4.10 / 82.00
The teachers illustrate the concepts through examples and applications.,2,2,1,2,13,4.10 / 82.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,6,12,4.40 / 88.00
Teachers are able to identify your weaknesses and help you to overcome them.,1,1,0,6,12,4.35 / 87.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,2,6,11,4.30 / 86.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,1,2,3,13,4.30 / 86.00
Teachers encourage you to participate in extracurricular activities.,1,0,1,8,10,4.30 / 86.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,1,1,4,13,4.35 / 87.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,2,8,10,4.40 / 88.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,0,10,10,4.50 / 90.00
How much of the syllabus was covered in the class?,1,1,8,6,10,3.88 / 77.69
How well did the teachers prepare for the classes?,1,0,6,13,6,3.88 / 77.69
How well were the teachers able to communicate?,0,3,3,8,12,4.12 / 82.31
The teachers approach to teaching can best be described as,1,2,3,10,10,4.00 / 80.00
Fairness of the internal evaluation process by the teachers.,1,2,3,8,12,4.08 / 81.54
Was your performance in assignments discussed with you?,2,1,6,7,10,3.85 / 76.92
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",3,0,2,10,11,4.00 / 80.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,3,2,10,11,4.12 / 82.31
The institution provides multiple opportunities to learn and grow.,1,1,1,13,10,4.15 / 83.08
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,9,12,4.15 / 83.08
Your mentor does a necessary follow-up with an assigned task to you.,2,1,5,5,13,4.00 / 80.00
The teachers illustrate the concepts through examples and applications.,2,1,3,7,13,4.08 / 81.54
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,4,4,16,4.31 / 86.15
Teachers are able to identify your weaknesses and help you to overcome them.,0,2,3,6,15,4.31 / 86.15
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,4,7,14,4.31 / 86.15
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,3,6,3,13,3.92 / 78.46
Teachers encourage you to participate in extracurricular activities.,0,2,5,5,14,4.19 / 83.85
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",3,0,2,7,14,4.12 / 82.31
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,1,5,10,7,3.65 / 73.08
The overall quality of the teaching-learning process in your institute is very good.,0,2,2,9,13,4.27 / 85.38
How much of the syllabus was covered in the class?,0,1,3,4,4,3.92 / 78.33
How well did the teachers prepare for the classes?,0,0,0,9,3,4.25 / 85.00
How well were the teachers able to communicate?,0,0,0,4,8,4.67 / 93.33
The teachers approach to teaching can best be described as,0,1,4,6,1,3.58 / 71.67
Fairness of the internal evaluation process by the teachers.,0,2,1,1,8,4.25 / 85.00
Was your performance in assignments discussed with you?,0,2,3,4,3,3.67 / 73.33
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,5,1,5,3.83 / 76.67
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,6,2,3.58 / 71.67
The institution provides multiple opportunities to learn and grow.,0,1,3,5,3,3.83 / 76.67
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,1,4,6,4.25 / 85.00
Your mentor does a necessary follow-up with an assigned task to you.,0,5,1,3,3,3.33 / 66.67
The teachers illustrate the concepts through examples and applications.,0,3,1,3,5,3.83 / 76.67
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,2,4,3,3.50 / 70.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,2,2,6,2,3.67 / 73.33
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,1,1,7,2,3.67 / 73.33
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,3,7,2,3.92 / 78.33
Teachers encourage you to participate in extracurricular activities.,0,0,2,6,4,4.17 / 83.33
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,4,5,4.08 / 81.67
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",6,1,1,3,1,2.33 / 46.67
The overall quality of the teaching-learning process in your institute is very good.,0,1,3,4,4,3.92 / 78.33
How much of the syllabus was covered in the class?,0,0,2,3,0,3.60 / 72.00
How well did the teachers prepare for the classes?,0,0,0,5,0,4.00 / 80.00
How well were the teachers able to communicate?,0,0,1,4,0,3.80 / 76.00
The teachers approach to teaching can best be described as,0,0,2,3,0,3.60 / 72.00
Fairness of the internal evaluation process by the teachers.,0,0,0,3,2,4.40 / 88.00
Was your performance in assignments discussed with you?,0,0,2,0,3,4.20 / 84.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,3,1,1,3.60 / 72.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,3,1,1,3.60 / 72.00
The institution provides multiple opportunities to learn and grow.,0,0,4,1,0,3.20 / 64.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,2,4.40 / 88.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,2,1,2,4.00 / 80.00
The teachers illustrate the concepts through examples and applications.,0,0,1,2,2,4.20 / 84.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,4,0,3.60 / 72.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,3,0,3.40 / 68.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,2,0,3.40 / 68.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,4,0,3.80 / 76.00
Teachers encourage you to participate in extracurricular activities.,0,0,0,5,0,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,3,2,0,3.40 / 68.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,3,1,0,3.00 / 60.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,3,2,0,3.40 / 68.00
How much of the syllabus was covered in the class?,0,3,1,2,1,3.14 / 62.86
How well did the teachers prepare for the classes?,0,2,2,2,1,3.29 / 65.71
How well were the teachers able to communicate?,0,1,3,1,2,3.57 / 71.43
The teachers approach to teaching can best be described as,0,2,3,1,1,3.14 / 62.86
Fairness of the internal evaluation process by the teachers.,0,0,0,4,3,4.43 / 88.57
Was your performance in assignments discussed with you?,1,0,4,0,2,3.29 / 65.71
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,3.86 / 77.14
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,3.43 / 68.57
The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,3.71 / 74.29
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,3.43 / 68.57
Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14
The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86
The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14
Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29
Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43
The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29
How much of the syllabus was covered in the class?,0,0,1,1,2,4.25 / 85.00
How well did the teachers prepare for the classes?,0,0,1,3,0,3.75 / 75.00
How well were the teachers able to communicate?,0,0,1,3,0,3.75 / 75.00
The teachers approach to teaching can best be described as,0,2,0,2,0,3.00 / 60.00
Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,3.75 / 75.00
Was your performance in assignments discussed with you?,0,0,1,2,1,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,2.50 / 50.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,2.75 / 55.00
The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,3.50 / 70.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,3.00 / 60.00
Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,2.75 / 55.00
The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,4.00 / 80.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,2.50 / 50.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,3.25 / 65.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,3.25 / 65.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,3.75 / 75.00
Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,3.75 / 75.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,4.50 / 90.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,3.25 / 65.00
How much of the syllabus was covered in the class?,0,0,0,0,2,5.00 / 100.00
How well did the teachers prepare for the classes?,0,0,0,0,2,5.00 / 100.00
How well were the teachers able to communicate?,0,0,0,0,2,5.00 / 100.00
The teachers approach to teaching can best be described as,0,0,1,0,1,4.00 / 80.00
Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00
Was your performance in assignments discussed with you?,0,0,0,1,1,4.50 / 90.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,4.00 / 80.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,4.50 / 90.00
The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,4.50 / 90.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,5.00 / 100.00
The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,5.00 / 100.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,5.00 / 100.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,4.00 / 80.00
